trade_date,n_universe,pct_DANG_HOI,pct_TRUNG_TINH,pct_YEU,pct_YEU_DAN,pct_RAT_YEU,pct_weak3,pct_weak2,dominant_state,dominant_share,hhi,entropy_log2,market_real,market_regime,vnindex_return,pct_DANG_HOI_chg_d1,pct_TRUNG_TINH_chg_d1,pct_YEU_chg_d1,pct_YEU_DAN_chg_d1,pct_RAT_YEU_chg_d1,pct_weak3_chg_d1,pct_weak2_chg_d1,pct_DANG_HOI_chg_d2,pct_TRUNG_TINH_chg_d2,pct_YEU_chg_d2,pct_YEU_DAN_chg_d2,pct_RAT_YEU_chg_d2,pct_weak3_chg_d2,pct_weak2_chg_d2,pct_DANG_HOI_chg_d3,pct_TRUNG_TINH_chg_d3,pct_YEU_chg_d3,pct_YEU_DAN_chg_d3,pct_RAT_YEU_chg_d3,pct_weak3_chg_d3,pct_weak2_chg_d3,episode_id,iso_week,uni_T3_mean,uni_T3_median,yeudan_T3_n,yeudan_T3_mean,yeudan_T3_median,ratyeu_T3_n,ratyeu_T3_mean,ratyeu_T3_median,uni_T5_mean,uni_T5_median,yeudan_T5_n,yeudan_T5_mean,yeudan_T5_median,ratyeu_T5_n,ratyeu_T5_mean,ratyeu_T5_median,uni_T10_mean,uni_T10_median,yeudan_T10_n,yeudan_T10_mean,yeudan_T10_median,ratyeu_T10_n,ratyeu_T10_mean,ratyeu_T10_median,blind_forward,DANG_HOI_T3_n,DANG_HOI_T3_mean,DANG_HOI_T3_median,DANG_HOI_T3_winrate,DANG_HOI_T3_beats_uni_median,TRUNG_TINH_T3_n,TRUNG_TINH_T3_mean,TRUNG_TINH_T3_median,TRUNG_TINH_T3_winrate,TRUNG_TINH_T3_beats_uni_median,YEU_T3_n,YEU_T3_mean,YEU_T3_median,YEU_T3_winrate,YEU_T3_beats_uni_median,YEU_DAN_T3_n,YEU_DAN_T3_mean,YEU_DAN_T3_median,YEU_DAN_T3_winrate,YEU_DAN_T3_beats_uni_median,RAT_YEU_T3_n,RAT_YEU_T3_mean,RAT_YEU_T3_median,RAT_YEU_T3_winrate,RAT_YEU_T3_beats_uni_median,DANG_HOI_T5_n,DANG_HOI_T5_mean,DANG_HOI_T5_median,DANG_HOI_T5_winrate,DANG_HOI_T5_beats_uni_median,TRUNG_TINH_T5_n,TRUNG_TINH_T5_mean,TRUNG_TINH_T5_median,TRUNG_TINH_T5_winrate,TRUNG_TINH_T5_beats_uni_median,YEU_T5_n,YEU_T5_mean,YEU_T5_median,YEU_T5_winrate,YEU_T5_beats_uni_median,YEU_DAN_T5_n,YEU_DAN_T5_mean,YEU_DAN_T5_median,YEU_DAN_T5_winrate,YEU_DAN_T5_beats_uni_median,RAT_YEU_T5_n,RAT_YEU_T5_mean,RAT_YEU_T5_median,RAT_YEU_T5_winrate,RAT_YEU_T5_beats_uni_median,DANG_HOI_T10_n,DANG_HOI_T10_mean,DANG_HOI_T10_median,DANG_HOI_T10_winrate,DANG_HOI_T10_beats_uni_median,TRUNG_TINH_T10_n,TRUNG_TINH_T10_mean,TRUNG_TINH_T10_median,TRUNG_TINH_T10_winrate,TRUNG_TINH_T10_beats_uni_median,YEU_T10_n,YEU_T10_mean,YEU_T10_median,YEU_T10_winrate,YEU_T10_beats_uni_median,YEU_DAN_T10_n,YEU_DAN_T10_mean,YEU_DAN_T10_median,YEU_DAN_T10_winrate,YEU_DAN_T10_beats_uni_median,RAT_YEU_T10_n,RAT_YEU_T10_mean,RAT_YEU_T10_median,RAT_YEU_T10_winrate,RAT_YEU_T10_beats_uni_median
2026-07-23,142,2.8169014084507045,2.8169014084507045,1.4084507042253522,38.732394366197184,54.22535211267606,94.36619718309859,55.633802816901415,⛔ RẤT YẾU,54.22535211267606,0.4458440785558421,1.38554044431198,,🔴 Forecast rủi ro,,,,,,,,,,,,,,,,,,,,,,,1,2026-W30,-2.0114472342889,-1.8683510638297873,55.0,-1.8156640376480326,-1.619433198380571,77.0,-2.2245580094933923,-2.0689655172413834,0.9737198532092796,0.7012045231071795,55.0,1.1168923565664393,0.638569604086836,77.0,1.0189650328499542,0.7220216606498298,2.8968335001252865,1.7849390790958708,55.0,2.4572686621343305,1.5625,77.0,3.497947821098805,2.2222222222222143,False,4.0,-0.3899427136377087,-1.1498472744360888,0.25,1.0,4.0,-2.399405510097699,-1.9846234895130155,0.5,0.0,2.0,-1.6578127862245828,-1.6578127862245828,0.0,1.0,55.0,-1.8156640376480326,-1.619433198380571,0.2545454545454545,1.0,77.0,-2.2245580094933923,-2.0689655172413834,0.2857142857142857,0.0,4.0,0.9549665594301315,0.6946076127819556,0.5,0.0,4.0,-1.4295249047990677,-0.9960159362549792,0.25,0.0,2.0,0.1385326982963897,0.1385326982963897,0.5,0.0,55.0,1.1168923565664393,0.638569604086836,0.5454545454545454,0.0,77.0,1.0189650328499542,0.7220216606498298,0.5714285714285714,1.0,4.0,3.098482377123185,3.425876878306522,0.75,1.0,4.0,-2.046156468831281,-1.1539556061468392,0.0,0.0,2.0,1.3246473713134255,1.3246473713134255,1.0,0.0,55.0,2.4572686621343305,1.5625,0.7090909090909091,0.0,77.0,3.497947821098805,2.2222222222222143,0.6753246753246753,1.0
2026-07-24,142,2.112676056338028,8.450704225352112,3.5211267605633805,28.87323943661972,57.04225352112676,89.43661971830986,60.563380281690144,⛔ RẤT YẾU,57.04225352112676,0.41757587780202343,1.5682572574747513,,🔴 Forecast rủi ro,,-0.7042253521126765,5.633802816901408,2.112676056338028,-9.859154929577464,2.816901408450697,-4.929577464788736,4.9295774647887285,,,,,,,,,,,,,,,1,2026-W30,1.032236009678953,0.10309278350515425,41.0,0.6873053979960371,0.0,81.0,1.484209404427005,1.2552301255230214,1.2849424978153678,0.7971290650406471,41.0,0.7765627356386748,0.4692632566869914,81.0,1.9487763089296313,1.2422360248447228,4.963856683532874,3.900076050656354,41.0,2.9626654149588934,2.631578947368429,81.0,6.668688585893503,5.283018867924527,False,3.0,1.0182907345167802,0.0,0.3333333333333333,0.0,12.0,-0.2626769226783909,-0.2347417840375565,0.25,0.0,5.0,-0.34514376668464786,0.538599640933568,0.6,1.0,41.0,0.6873053979960371,0.0,0.4634146341463415,0.0,81.0,1.484209404427005,1.2552301255230214,0.5555555555555556,1.0,3.0,0.26282961524290993,0.3861003861003853,0.6666666666666666,0.0,12.0,-0.42093034881568187,-1.3227820531436008,0.4166666666666667,0.0,5.0,-0.593088630928813,-1.1450381679389277,0.2,0.0,41.0,0.7765627356386748,0.4692632566869914,0.5121951219512195,0.0,81.0,1.9487763089296313,1.2422360248447228,0.6296296296296297,1.0,3.0,4.925311992981162,5.263157894736836,1.0,1.0,12.0,1.3085742082497511,0.8216145833333299,0.6666666666666666,0.0,5.0,2.5511530226078354,0.9009009009008916,0.8,0.0,41.0,2.9626654149588934,2.631578947368429,0.7073170731707317,0.0,81.0,6.668688585893503,5.283018867924527,0.9135802469135802,1.0
2026-07-27,142,2.112676056338028,5.633802816901409,2.8169014084507045,38.028169014084504,51.40845070422535,92.25352112676056,54.225352112676056,⛔ RẤT YẾU,51.40845070422535,0.4133108510216227,1.5203386306509357,,🔴 Forecast rủi ro,,0.0,-2.816901408450703,-0.704225352112676,9.154929577464785,-5.633802816901408,2.816901408450704,-6.338028169014088,-0.7042253521126765,2.8169014084507045,1.4084507042253522,-0.7042253521126796,-2.816901408450711,-2.1126760563380316,-1.4084507042253591,,,,,,,,1,2026-W31,3.6778499481872804,3.385855324723941,54.0,3.616473347870516,3.2623434633484933,73.0,4.156953852796903,4.072398190045257,5.819549696887685,5.749075886062194,54.0,5.389397942093706,5.076889673466689,73.0,6.954743566725651,6.372549019607843,7.818877556899366,7.57273109564951,54.0,6.216704781085163,6.214244851258577,73.0,9.878640120328503,8.823529411764696,False,3.0,-0.11212681313963808,-1.379310344827589,0.3333333333333333,0.0,8.0,1.9782848762197354,2.3988970588235343,0.75,0.0,4.0,2.004400508268284,2.258241231494029,1.0,0.0,54.0,3.616473347870516,3.2623434633484933,0.8518518518518519,0.0,73.0,4.156953852796903,4.072398190045257,0.9452054794520548,1.0,3.0,-0.3061993136344772,-0.2758620689655155,0.3333333333333333,0.0,8.0,1.588500497345606,0.6112132352941169,0.75,0.0,4.0,3.9657204190392763,3.087774294670853,1.0,0.0,54.0,5.389397942093706,5.076889673466689,0.8703703703703703,0.0,73.0,6.954743566725651,6.372549019607843,0.958904109589041,1.0,3.0,1.5693404813479732,3.0344827586206824,0.6666666666666666,0.0,8.0,5.347588114560425,5.240432405566597,0.75,0.0,4.0,1.4872749391508124,1.9287612971823467,0.75,0.0,54.0,6.216704781085163,6.214244851258577,0.8888888888888888,0.0,73.0,9.878640120328503,8.823529411764696,0.9452054794520548,1.0
2026-07-28,142,2.112676056338028,7.042253521126761,7.042253521126761,44.36619718309859,39.436619718309856,90.8450704225352,46.478873239436616,⚠️ YẾU DẦN,44.36619718309859,0.362725649672684,1.706268526436856,,🔴 Forecast rủi ro,,0.0,1.408450704225352,4.225352112676056,6.338028169014088,-11.971830985915496,-1.4084507042253591,-7.74647887323944,0.0,-1.4084507042253511,3.5211267605633805,15.492957746478872,-17.605633802816904,1.408450704225345,-14.084507042253527,-0.7042253521126765,4.225352112676056,5.633802816901409,5.633802816901408,-14.788732394366207,-3.5211267605633907,-9.154929577464799,1,2026-W31,2.8219428306611047,2.1615217754046396,63.0,3.472281746823162,2.3121387283236983,56.0,2.7104661034941517,2.520737070645218,6.294108829482976,5.451694195633716,63.0,6.186138299640286,5.202312138728327,56.0,7.780379881677204,6.997432174978313,7.009213810156804,6.068955967875944,63.0,7.5139147730680165,6.024096385542177,56.0,8.85176412341688,7.5302353411687335,False,3.0,0.5587932198288977,0.995024875621886,0.6666666666666666,0.0,10.0,1.6420311011016107,1.134599190599872,0.7,0.0,10.0,1.207933943784235,1.7176341329426803,0.8,0.0,63.0,3.472281746823162,2.3121387283236983,0.9206349206349206,1.0,56.0,2.7104661034941517,2.520737070645218,0.8928571428571429,1.0,3.0,1.5797272535097846,-0.9280742459396808,0.3333333333333333,0.0,10.0,4.439312651236922,3.577811492913307,0.9,0.0,10.0,1.9203159262422673,2.840320764271509,0.7,0.0,63.0,6.186138299640286,5.202312138728327,0.9047619047619048,0.0,56.0,7.780379881677204,6.997432174978313,1.0,1.0,3.0,2.1257158818665784,2.9850746268656803,0.6666666666666666,0.0,10.0,-1.376553973300234,2.4157671336582753,0.6,0.0,10.0,3.3621331515038335,3.7492831359848937,0.9,0.0,63.0,7.5139147730680165,6.024096385542177,0.9206349206349206,0.0,56.0,8.85176412341688,7.5302353411687335,0.9642857142857143,1.0
2026-07-29,142,10.56338028169014,28.169014084507044,14.084507042253522,38.732394366197184,8.450704225352112,61.267605633802816,22.535211267605632,⚠️ YẾU DẦN,38.732394366197184,0.26750644713350524,2.0869768457027127,,🔴 Forecast rủi ro,,8.450704225352112,21.126760563380284,7.042253521126761,-5.633802816901408,-30.985915492957744,-29.577464788732385,-23.943661971830984,8.450704225352112,22.535211267605636,11.267605633802818,0.7042253521126796,-42.95774647887324,-30.985915492957744,-31.690140845070424,8.450704225352112,19.71830985915493,10.563380281690142,9.859154929577464,-48.59154929577465,-28.16901408450704,-38.02816901408451,1,2026-W31,2.5669184253522705,2.1839542122703115,55.0,2.8379669860706334,2.9787234042553123,12.0,3.5420205166745866,3.4941594718131075,2.211677138323639,1.5686515748031482,55.0,2.632557742591028,1.5748031496062964,12.0,5.485439923550703,5.533811698195256,4.433257709131399,3.8113652868554837,55.0,5.365473576792768,5.142857142857138,12.0,8.505003163233956,6.124586012078703,False,15.0,1.316165267804636,0.6561679790026309,0.5333333333333333,0.0,40.0,2.1060529249238344,1.9730538922155705,0.775,0.0,20.0,3.0962694976009852,2.472424910911253,0.85,1.0,55.0,2.8379669860706334,2.9787234042553123,0.8363636363636363,1.0,12.0,3.5420205166745866,3.4941594718131075,0.8333333333333334,1.0,15.0,-1.8291142894086692,-0.0908265213442338,0.4666666666666667,0.0,40.0,1.85374391538124,1.1657007376185469,0.7,0.0,20.0,2.8364578221361105,2.721094005895841,0.7,1.0,55.0,2.632557742591028,1.5748031496062964,0.8,1.0,12.0,5.485439923550703,5.533811698195256,0.75,1.0,15.0,0.11728856946209912,1.3123359580052396,0.6666666666666666,0.0,40.0,3.780550938594498,2.2157712614155223,0.8,0.0,20.0,3.9690071964268796,3.76739047882072,0.95,0.0,55.0,5.365473576792768,5.142857142857138,0.9090909090909091,1.0,12.0,8.505003163233956,6.124586012078703,0.8333333333333334,1.0
2026-07-30,142,12.676056338028168,38.732394366197184,17.6056338028169,28.87323943661972,2.112676056338028,48.591549295774655,19.718309859154928,🟡 TRUNG TÍNH,38.732394366197184,0.28089664749057724,1.9839417765068588,,🔴 Forecast rủi ro,,2.112676056338028,10.56338028169014,3.5211267605633783,-9.859154929577464,-6.338028169014084,-12.676056338028161,-2.816901408450704,10.56338028169014,31.690140845070424,10.56338028169014,-15.492957746478872,-37.323943661971825,-42.253521126760546,-26.76056338028169,10.56338028169014,33.098591549295776,14.788732394366196,-9.154929577464785,-49.29577464788733,-43.661971830985905,-34.50704225352113,1,2026-W31,3.126987741089167,2.5807525807525766,41.0,4.192671297908016,3.009259259259256,3.0,9.221586728327432,1.8382352941176403,1.9325393470334737,1.7858767858767943,41.0,2.6046503037716446,1.9891500904159145,3.0,7.214318303716219,1.5243902439024293,2.915741408347212,2.115308933490756,41.0,3.33607119265649,2.164502164502169,3.0,5.348107143053464,1.2195121951219523,False,18.0,1.8623417062857364,1.7517534782108712,0.6666666666666666,0.0,55.0,2.2526475235432146,2.0325203252032464,0.8545454545454545,0.0,25.0,3.482008453097229,3.255813953488373,0.88,1.0,41.0,4.192671297908016,3.009259259259256,0.926829268292683,1.0,3.0,9.221586728327432,1.8382352941176403,1.0,0.0,18.0,-0.7983695222618645,3.1301567656765723,0.6111111111111112,1.0,55.0,1.6741805737794142,1.3986013986013957,0.7454545454545455,0.0,25.0,2.73110759023252,2.3809523809523725,0.8,1.0,41.0,2.6046503037716446,1.9891500904159145,0.8536585365853658,1.0,3.0,7.214318303716219,1.5243902439024293,0.6666666666666666,0.0,18.0,0.5730694281875306,3.0988086685823757,0.7222222222222222,1.0,55.0,2.786739864910371,1.6528925619834656,0.6909090909090909,0.0,25.0,3.905043895191267,3.237410071942448,0.92,1.0,41.0,3.33607119265649,2.164502164502169,0.8536585365853658,1.0,3.0,5.348107143053464,1.2195121951219523,0.6666666666666666,0.0
2026-07-31,142,17.6056338028169,24.647887323943664,21.830985915492956,34.50704225352113,1.4084507042253522,57.74647887323943,23.239436619718308,⚠️ YẾU DẦN,34.50704225352113,0.25867883356476884,2.034802201750596,,🔴 Forecast rủi ro,,4.929577464788732,-14.08450704225352,4.225352112676056,5.633802816901408,-0.7042253521126758,9.154929577464777,3.52112676056338,7.04225352112676,-3.52112676056338,7.746478873239434,-4.225352112676056,-7.04225352112676,-3.5211267605633836,0.704225352112676,15.492957746478872,17.605633802816904,14.788732394366196,-9.859154929577464,-38.028169014084504,-33.09859154929577,-23.239436619718308,1,2026-W31,1.9637962973240455,1.6730618957091714,49.0,2.6281162466015795,1.7857142857142794,2.0,10.301204819277112,10.301204819277112,3.678322862577894,3.3835016835016885,49.0,4.377238874286114,3.913043478260869,2.0,7.671978235522736,7.671978235522736,2.1833724051244383,1.7870449222908258,49.0,3.3131068306081732,2.1739130434782705,2.0,8.56976292265838,8.56976292265838,False,25.0,-0.9590592626688281,0.8036739380022917,0.6,0.0,35.0,2.6835168932210203,2.4193548387096757,0.8571428571428571,1.0,31.0,1.9203986710312209,1.454545454545464,0.7419354838709677,0.0,49.0,2.6281162466015795,1.7857142857142794,0.8163265306122449,1.0,2.0,10.301204819277112,10.301204819277112,1.0,1.0,25.0,-0.036018896045984336,1.806239737274229,0.68,0.0,35.0,4.349341382564357,3.0241935483871,0.9428571428571428,0.0,31.0,4.55376481246429,3.6184210526315703,0.9032258064516129,1.0,49.0,4.377238874286114,3.913043478260869,0.8979591836734694,1.0,2.0,7.671978235522736,7.671978235522736,0.5,1.0,25.0,-0.9856175508310102,1.1494252873563315,0.56,0.0,35.0,2.3460095603405358,1.8433179723502224,0.6571428571428571,1.0,31.0,2.3576524239164356,1.1730205278592365,0.6774193548387096,0.0,49.0,3.3131068306081732,2.1739130434782705,0.8163265306122449,1.0,2.0,8.56976292265838,8.56976292265838,0.5,1.0
2026-08-03,142,45.07042253521127,35.91549295774648,11.267605633802818,7.042253521126761,0.7042253521126761,19.014084507042256,11.971830985915494,🌱 ĐANG HỒI,45.07042253521127,0.3498313826621703,1.72359941957919,,🔴 Forecast rủi ro,,27.46478873239437,11.267605633802816,-10.563380281690138,-27.464788732394368,-0.7042253521126761,-38.73239436619718,-11.267605633802814,32.3943661971831,-2.816901408450704,-6.338028169014082,-21.83098591549296,-1.408450704225352,-29.5774647887324,-7.746478873239434,34.507042253521135,7.746478873239436,-2.816901408450704,-31.690140845070424,-7.746478873239436,-42.25352112676056,-10.563380281690138,1,2026-W32,-0.12530428651999503,-0.19985414983147987,10.0,-0.5965079726993383,-0.5998474633828577,1.0,-4.895104895104896,-4.895104895104896,1.9082136364903342,1.8686428363847707,10.0,0.4180823605167405,0.7769743813501262,1.0,-5.594405594405593,-5.594405594405593,-0.18688091520107025,-0.1547987616099089,10.0,-1.0092238835385234,-0.9712837837837829,1.0,-8.391608391608397,-8.391608391608397,False,64.0,-0.31409244144877935,0.0,0.46875,1.0,51.0,-0.01635874682351277,-0.4237288135593209,0.39215686274509803,0.0,16.0,0.8751992673112516,-0.15923566878980885,0.4375,1.0,10.0,-0.5965079726993383,-0.5998474633828577,0.3,0.0,1.0,-4.895104895104896,-4.895104895104896,0.0,0.0,64.0,1.3786913869376058,1.9455776590822984,0.71875,1.0,51.0,2.464253050065059,2.0576131687242816,0.8627450980392157,1.0,16.0,3.6541727533463044,2.1829521829521803,0.9375,1.0,10.0,0.4180823605167405,0.7769743813501262,0.6,0.0,1.0,-5.594405594405593,-5.594405594405593,0.0,0.0,64.0,-1.3760738353566653,-1.4233675121424705,0.359375,0.0,51.0,1.0329314897581547,0.8333333333333304,0.6078431372549019,1.0,16.0,1.7084985471001464,0.0,0.4375,1.0,10.0,-1.0092238835385234,-0.9712837837837829,0.2,0.0,1.0,-8.391608391608397,-8.391608391608397,0.0,0.0
2026-08-04,142,50.0,26.056338028169012,13.380281690140844,9.859154929577464,0.7042253521126761,23.943661971830984,14.08450704225352,🌱 ĐANG HỒI,50.0,0.3455663558817695,1.7737230936079345,,🔴 Forecast rủi ro,,4.9295774647887285,-9.859154929577468,2.1126760563380262,2.816901408450703,0.0,4.9295774647887285,2.1126760563380262,32.3943661971831,1.4084507042253485,-8.450704225352112,-24.647887323943664,-0.7042253521126761,-33.80281690140845,-9.154929577464788,37.32394366197183,-12.676056338028172,-4.225352112676056,-19.014084507042256,-1.408450704225352,-24.64788732394367,-5.633802816901408,1,2026-W32,0.333631905243334,-0.06993006993006864,14.0,1.439175848830023,0.3812858671335462,1.0,-5.633802816901412,-5.633802816901412,0.6976472221006754,0.6767880007316651,14.0,1.8842048345655276,1.6194922672891798,1.0,-3.521126760563376,-3.521126760563376,-1.3548280818141354,-2.0764382901561023,14.0,1.3098974233859901,1.3014936732946458,1.0,-7.042253521126762,-7.042253521126762,False,71.0,-0.3516286208675522,-0.2976190476190465,0.4084507042253521,0.0,37.0,0.528147182175595,-0.4081632653061273,0.40540540540540543,0.0,19.0,2.015013569417563,0.8438818565400741,0.6842105263157895,1.0,14.0,1.439175848830023,0.3812858671335462,0.5,1.0,1.0,-5.633802816901412,-5.633802816901412,0.0,0.0,71.0,0.2782632210957353,0.7042253521126751,0.5915492957746479,1.0,37.0,0.6715899525358868,0.4115226337448652,0.5405405405405406,0.0,19.0,1.6632972459640452,0.9146341463414532,0.5789473684210527,1.0,14.0,1.8842048345655276,1.6194922672891798,0.7857142857142857,1.0,1.0,-3.521126760563376,-3.521126760563376,0.0,0.0,71.0,-2.2559675347421178,-3.076923076923077,0.3380281690140845,0.0,37.0,-1.5257271607978105,-2.159244264507421,0.24324324324324326,0.0,19.0,0.6812474680171058,-2.061855670103097,0.3684210526315789,1.0,14.0,1.3098974233859901,1.3014936732946458,0.5,1.0,1.0,-7.042253521126762,-7.042253521126762,0.0,0.0
2026-08-05,142,40.845070422535215,21.12676056338028,25.352112676056336,11.971830985915492,0.7042253521126761,38.028169014084504,26.056338028169012,🌱 ĐANG HỒI,40.845070422535215,0.2901210077365603,1.9203542748650078,,🔴 Forecast rủi ro,,-9.154929577464785,-4.929577464788732,11.971830985915492,2.112676056338028,0.0,14.08450704225352,11.971830985915492,-4.225352112676056,-14.7887323943662,14.084507042253518,4.929577464788731,0.0,19.01408450704225,14.084507042253518,23.239436619718315,-3.5211267605633836,3.52112676056338,-22.535211267605636,-0.7042253521126761,-19.718309859154928,2.816901408450704,1,2026-W32,2.2376414017026613,2.064741658614222,17.0,1.896435747461762,1.650165016501659,1.0,-3.57142857142857,-3.57142857142857,2.154550976335446,1.742074471969557,17.0,2.4265361843623245,1.7543859649122862,1.0,-2.857142857142858,-2.857142857142858,-0.6832302377854963,-1.5383478646372128,17.0,0.3745284119427859,-0.0731528895391409,1.0,-7.857142857142863,-7.857142857142863,False,58.0,1.7733112192496208,1.6620879120879062,0.7931034482758621,0.0,30.0,2.3951767074267862,2.140567765567758,0.8666666666666667,1.0,36.0,3.17693744352986,2.4701700939324667,0.9444444444444444,1.0,17.0,1.896435747461762,1.650165016501659,0.7647058823529411,0.0,1.0,-3.57142857142857,-3.57142857142857,0.0,0.0,58.0,1.5751471298066146,1.1569896745638797,0.7068965517241379,0.0,30.0,2.7364103011562735,2.3611111111111027,0.7666666666666667,1.0,36.0,2.6139284388651323,1.7566695569760649,0.9166666666666666,1.0,17.0,2.4265361843623245,1.7543859649122862,0.8235294117647058,1.0,1.0,-2.857142857142858,-2.857142857142858,0.0,0.0,58.0,-1.3485167262854998,-1.9697752518729017,0.3275862068965517,0.0,30.0,-0.41138365723594245,-1.3988753244256469,0.4,1.0,36.0,-0.13814039082743587,-1.64678006262165,0.3055555555555556,0.0,17.0,0.3745284119427859,-0.0731528895391409,0.47058823529411764,1.0,1.0,-7.857142857142863,-7.857142857142863,0.0,0.0
