date,time,symbol,group,rank,score,price,is_live_adjusted
2026-05-29,10:27:33,PNJ,TÍCH LŨY,1,2.0,65700.0,True
2026-05-29,10:27:33,NT2,TÍCH LŨY,1,2.0,23150.0,True
2026-05-29,10:27:33,DXG,TÍCH LŨY,1,2.0,13200.0,True
2026-05-29,10:27:33,GAS,THEO DÕI,0,1.0,81200.0,True
2026-05-29,10:27:33,PHR,THEO DÕI,0,1.0,67200.0,True
2026-05-29,10:27:33,BSR,THEO DÕI,0,1.0,28250.0,True
2026-05-29,10:27:33,EVF,THEO DÕI,0,1.0,13650.0,True
2026-05-29,10:27:33,BID,THEO DÕI,0,1.0,42350.0,True
2026-05-29,10:27:33,SBT,THEO DÕI,0,1.0,20500.0,True
2026-05-29,10:27:33,PLX,THEO DÕI,0,1.0,38950.0,True
2026-05-29,10:27:33,VIX,THEO DÕI,0,1.0,17950.0,True
2026-05-29,10:27:33,TCX,THEO DÕI,0,1.0,42100.0,True
2026-05-29,10:27:33,OIL,THEO DÕI,0,1.0,14700.0,False
2026-05-29,10:27:33,FPT,THEO DÕI,0,1.0,72100.0,True
2026-05-29,10:27:33,BVH,THEO DÕI,0,1.0,67400.0,True
2026-05-29,10:27:33,DXS,THEO DÕI,0,1.0,7750.0,True
2026-05-29,10:27:33,FOX,THEO DÕI,0,1.0,80200.0,False
2026-05-29,10:27:33,HCM,THEO DÕI,0,1.0,27950.0,True
2026-05-29,10:27:33,SAB,THEO DÕI,0,1.0,47150.0,True
2026-05-29,10:27:33,VTP,THEO DÕI,0,1.0,65700.0,True
2026-05-29,10:27:33,GEG,THEO DÕI,0,1.0,14200.0,True
2026-05-29,10:27:33,GIL,THEO DÕI,0,1.0,12550.0,True
2026-05-29,10:27:33,PDR,THEO DÕI,0,1.0,16200.0,True
2026-05-29,10:27:33,MSR,THEO DÕI,0,1.0,39800.0,False
2026-05-29,10:27:33,MCH,THEO DÕI,0,1.0,129000.0,True
2026-05-29,10:27:33,EIB,THEO DÕI,0,1.0,21350.0,True
2026-05-29,10:27:33,BAF,THEO DÕI,0,1.0,34650.0,True
2026-05-29,10:27:33,HDB,THEO DÕI,0,1.0,25900.0,True
2026-05-29,10:27:33,DHT,THEO DÕI,0,1.0,67000.0,False
2026-05-29,10:27:33,SSI,THEO DÕI,0,1.0,27700.0,True
2026-05-29,10:27:33,VCI,THEO DÕI,0,1.0,25100.0,True
2026-05-29,10:27:33,KDH,THEO DÕI,0,1.0,22800.0,True
2026-05-29,10:27:33,TNG,THEO DÕI,0,1.0,19100.0,False
2026-05-29,10:27:33,REE,THEO DÕI,0,0.0,52800.0,True
2026-05-29,10:27:33,VOS,THEO DÕI,0,0.0,12450.0,True
2026-05-29,10:27:33,VGT,THEO DÕI,0,0.0,11800.0,False
2026-05-29,10:27:33,VGS,THEO DÕI,0,0.0,22600.0,False
2026-05-29,10:27:33,DDV,THEO DÕI,0,0.0,25900.0,False
2026-05-29,10:27:33,TLH,THEO DÕI,0,0.0,4560.0,True
2026-05-29,10:27:33,VPX,THEO DÕI,0,0.0,27300.0,True
2026-05-29,10:27:33,YEG,THEO DÕI,0,0.0,9170.0,True
2026-05-29,10:27:33,TCM,THEO DÕI,0,0.0,20900.0,True
2026-05-29,10:27:33,ACV,THEO DÕI,0,0.0,43900.0,False
2026-05-29,10:27:33,PTB,THEO DÕI,0,0.0,39500.0,True
2026-05-29,10:27:33,C4G,THEO DÕI,0,0.0,6800.0,False
2026-05-29,10:27:33,VGC,THEO DÕI,0,0.0,42750.0,True
2026-05-29,10:27:33,CTG,THEO DÕI,0,0.0,34900.0,True
2026-05-29,10:27:33,MSH,THEO DÕI,0,0.0,34300.0,True
2026-05-29,10:27:33,NKG,THEO DÕI,0,0.0,13750.0,True
2026-05-29,10:27:33,PLC,THEO DÕI,0,0.0,21600.0,False
2026-05-29,10:27:33,TVS,THEO DÕI,0,0.0,13000.0,True
2026-05-29,10:27:33,DPM,THEO DÕI,0,0.0,25850.0,True
2026-05-29,10:27:33,DGW,THEO DÕI,0,0.0,41250.0,True
2026-05-29,10:27:33,VCS,THEO DÕI,0,0.0,38500.0,False
2026-05-29,10:27:33,HBC,THEO DÕI,0,0.0,5000.0,False
2026-05-29,10:27:33,ORS,THEO DÕI,0,0.0,13150.0,True
2026-05-29,10:27:33,HPG,THEO DÕI,0,0.0,23950.0,True
2026-05-29,10:27:33,FCN,THEO DÕI,0,0.0,12700.0,True
2026-05-29,10:27:33,CSV,THEO DÕI,0,0.0,25400.0,True
2026-05-29,10:27:33,MSN,THEO DÕI,0,0.0,75500.0,True
2026-05-29,10:27:33,SHB,THEO DÕI,0,0.0,13700.0,True
2026-05-29,10:27:33,HVN,THEO DÕI,0,0.0,21350.0,True
2026-05-29,10:27:33,PVC,THEO DÕI,0,0.0,14700.0,False
2026-05-29,10:27:33,LAS,THEO DÕI,0,0.0,15300.0,False
2026-05-29,10:27:33,TLG,THEO DÕI,0,0.0,48950.0,True
2026-05-29,10:27:33,HUT,THEO DÕI,0,0.0,15500.0,False
2026-05-29,10:27:33,VCK,THEO DÕI,0,0.0,32800.0,True
2026-05-29,10:27:33,MML,THEO DÕI,0,0.0,30800.0,False
2026-05-29,10:27:33,VNM,THEO DÕI,0,0.0,59000.0,True
2026-05-29,10:27:33,DRI,THEO DÕI,0,0.0,14000.0,False
2026-05-29,10:27:33,STB,THEO DÕI,0,0.0,68700.0,True
2026-05-29,10:27:33,MBB,THEO DÕI,0,0.0,25000.0,True
2026-05-29,10:27:33,LHG,THEO DÕI,0,0.0,27150.0,True
2026-05-29,10:27:33,DBC,THEO DÕI,0,0.0,21700.0,True
2026-05-29,10:27:33,GVR,THEO DÕI,0,0.0,34250.0,True
2026-05-29,10:27:33,PVT,THEO DÕI,0,0.0,22000.0,True
2026-05-29,10:27:33,VJC,THEO DÕI,0,0.0,168600.0,True
2026-05-29,10:27:33,GMD,THEO DÕI,0,0.0,72500.0,True
2026-05-29,10:27:33,VHC,THEO DÕI,0,0.0,58600.0,True
2026-05-29,10:27:33,IJC,THEO DÕI,0,0.0,9650.0,True
2026-05-29,10:27:33,FMC,THEO DÕI,0,0.0,34250.0,True
2026-05-29,10:27:33,KSB,THEO DÕI,0,0.0,15150.0,True
2026-05-29,10:27:33,IMP,THEO DÕI,0,0.0,46450.0,True
2026-05-29,10:27:33,VIC,THEO DÕI,0,0.0,210500.0,True
2026-05-29,10:27:33,HAH,THEO DÕI,0,0.0,54200.0,True
2026-05-29,10:27:33,PVB,THEO DÕI,0,0.0,26400.0,False
2026-05-29,10:27:33,TNH,THEO DÕI,0,0.0,9570.0,True
2026-05-29,10:27:33,BMP,THEO DÕI,0,0.0,137400.0,True
2026-05-29,10:27:33,DCM,THEO DÕI,0,0.0,40300.0,True
2026-05-29,10:27:33,DTD,THEO DÕI,0,0.0,14500.0,False
2026-05-29,10:27:33,HDC,THEO DÕI,0,0.0,17700.0,True
2026-05-29,10:27:33,HHV,THEO DÕI,0,0.0,11750.0,True
2026-05-29,10:27:33,ELC,THEO DÕI,0,0.0,15750.0,True
2026-05-29,10:27:33,CTI,THEO DÕI,0,0.0,20400.0,True
2026-05-29,10:27:33,HAG,THEO DÕI,0,0.0,15500.0,True
2026-05-29,10:27:33,CEO,THEO DÕI,0,0.0,16300.0,False
2026-05-29,10:27:33,DPG,THEO DÕI,0,0.0,40300.0,True
2026-05-29,10:27:33,ANV,THEO DÕI,0,0.0,21900.0,True
2026-05-29,10:27:33,VSC,THEO DÕI,0,0.0,20200.0,True
2026-05-29,10:27:33,PVD,THEO DÕI,0,0.0,29800.0,True
2026-05-29,10:27:33,CII,THEO DÕI,0,0.0,17550.0,True
2026-05-29,10:27:33,GEE,THEO DÕI,0,0.0,108700.0,True
2026-05-29,10:27:33,HDG,THEO DÕI,0,0.0,23600.0,True
2026-05-29,10:27:33,MWG,THEO DÕI,0,0.0,77600.0,True
2026-05-29,10:27:33,SIP,THEO DÕI,0,0.0,51400.0,True
2026-05-29,10:27:33,VCG,THEO DÕI,0,0.0,20600.0,True
2026-05-29,10:27:33,DIG,THEO DÕI,0,0.0,13500.0,True
2026-05-29,10:27:33,NHA,THEO DÕI,0,0.0,11700.0,True
2026-05-29,10:27:33,VRE,THEO DÕI,0,0.0,32000.0,True
2026-05-29,10:27:33,DGC,THEO DÕI,0,0.0,47300.0,True
2026-05-29,10:27:33,KBC,THEO DÕI,0,0.0,30100.0,True
2026-05-29,10:27:33,TCH,THEO DÕI,0,0.0,15400.0,True
2026-05-29,10:27:33,SZC,THEO DÕI,0,0.0,23450.0,True
2026-05-29,10:27:33,FRT,THEO DÕI,0,0.0,130500.0,True
2026-05-29,10:27:33,CTD,THEO DÕI,0,0.0,71800.0,True
2026-05-29,10:27:33,HHS,THEO DÕI,0,0.0,11500.0,True
2026-05-29,10:27:33,TV2,THEO DÕI,0,0.0,29900.0,True
2026-05-29,10:27:33,NVL,THEO DÕI,0,0.0,15000.0,True
2026-05-29,10:27:33,BFC,THEO DÕI,0,0.0,56700.0,True
