Date,Close,Volume,,
12/05/2026,1901.1,710517800,,
11/05/2026,1895.5,939873900,,
08/05/2026,1915.37,914284200,,
07/05/2026,1909.01,913003500,,
06/05/2026,1891.2,787614800,,
05/05/2026,1874.85,762314900,,
04/05/2026,1854.06,671298200,,
29/04/2026,1854.1,684081700,,
28/04/2026,1875.84,631088700,,
24/04/2026,1853.29,625709200,,
23/04/2026,1870.36,1014702100,,
22/04/2026,1857.3,641338600,,
21/04/2026,1833.48,841329000,,
20/04/2026,1837.11,643588600,,
17/04/2026,1817.17,708729100,,
16/04/2026,1819.83,890369200,,
15/04/2026,1800.65,867853100,,
14/04/2026,1775.65,826661400,,
13/04/2026,1758.96,825933100,,
10/04/2026,1750,925131100,,
09/04/2026,1736.68,1006848400,,
08/04/2026,1756.55,1211978700,,
07/04/2026,1677.54,563089100,,
06/04/2026,1674.99,607243800,,
03/04/2026,1684.04,750444600,,
02/04/2026,1694.82,780735900,,
01/04/2026,1702.93,885531400,,
31/03/2026,1674.49,857297400,,
30/03/2026,1662.54,793800500,,
27/03/2026,1672.8,861666600,,
26/03/2026,1644.63,701366700,,
25/03/2026,1658.19,862805200,,
24/03/2026,1614.77,731576200,,
23/03/2026,1591.17,1059404300,,
20/03/2026,1647.81,916041800,,
19/03/2026,1699.13,886755400,,
18/03/2026,1713.83,772738800,,
17/03/2026,1710.29,786358900,,
16/03/2026,1693.21,794763700,,
13/03/2026,1696.24,940508100,,
12/03/2026,1709.61,922941200,,
12/03/2026,1709.61,922941200,,
11/03/2026,1728.34,973168300,,
10/03/2026,1676.73,1415919700,,
09/03/2026,1652.79,1354217000,,
06/03/2026,1767.84,1022839500,,
05/03/2026,1808.51,1159196900,,
04/03/2026,1767.46,1577207600,,
03/03/2026,1813.14,1332045400,,
02/03/2026,1846.1,1526548500,,
27/02/2026,1880.33,932132800,,
26/02/2026,1879.64,828408200,,
25/02/2026,1860.91,1191505500,,
24/02/2026,1867.62,1049005400,,
23/02/2026,1860.14,788482900,,
13/02/2026,1824.09,623845100,,
12/02/2026,1814.09,504232200,,
12/02/2026,1814.09,504232200,,
11/02/2026,1796.85,883010000,,
10/02/2026,1754.03,782487900,,
09/02/2026,1754.82,564237500,,
06/02/2026,1755.49,1091262400,,
05/02/2026,1782.56,767650700,,
04/02/2026,1791.43,1049958700,,
03/02/2026,1813.4,981309300,,
02/02/2026,1806.5,968507400,,
30/01/2026,1829.04,913816900,,
29/01/2026,1814.98,727099500,,
28/01/2026,1802.91,923730200,,
27/01/2026,1830.5,805720400,,
26/01/2026,1843.72,1058286200,,
23/01/2026,1870.79,909832900,,
22/01/2026,1882.73,993672600,,
21/01/2026,1885.44,1202609000,,
20/01/2026,1893.78,1056696800,,
19/01/2026,1896.59,893401300,,
16/01/2026,1879.13,1058372200,,
15/01/2026,1864.8,1267856000,,
14/01/2026,1894.44,1401757300,,
13/01/2026,1902.93,1350652300,,
12/01/2026,1877.33,1383441900,,
12/01/2026,1877.33,1383441900,,
09/01/2026,1867.9,1271659600,,
08/01/2026,1855.56,1233082400,,
07/01/2026,1861.58,992304400,,
06/01/2026,1816.27,891155300,,
05/01/2026,1788.4,864165500,,
31/12/2025,1784.49,632946700,,
30/12/2025,1766.9,589950000,,
29/12/2025,1754.84,546638100,,
26/12/2025,1729.8,985831700,,
25/12/2025,1742.85,684899200,,
24/12/2025,1782.82,738855300,,
23/12/2025,1772.15,792463000,,
22/12/2025,1751.03,807915900,,
19/12/2025,1704.31,687722000,,
18/12/2025,1676.98,519948200,,
17/12/2025,1673.66,526603300,,
16/12/2025,1679.18,807074600,,
15/12/2025,1646.01,644591600,,
12/12/2025,1646.89,884513100,,
12/12/2025,1646.89,884513100,,
11/12/2025,1698.9,547495800,,
10/12/2025,1718.98,551957500,,
09/12/2025,1747.17,954738700,,
08/12/2025,1753.74,649839400,,
05/12/2025,1741.32,674137400,,
04/12/2025,1737.24,828719700,,
03/12/2025,1731.77,776115100,,
02/12/2025,1717.06,707601200,,
01/12/2025,1701.67,569465700,,
28/11/2025,1690.99,684314300,,
27/11/2025,1684.32,642513100,,
26/11/2025,1680.36,728592300,,
25/11/2025,1660.36,821346900,,
24/11/2025,1667.98,573052400,,
21/11/2025,1654.93,708943700,,
20/11/2025,1655.99,626713100,,
19/11/2025,1649,786311300,,
18/11/2025,1659.92,743865500,,
17/11/2025,1654.42,712205000,,
14/11/2025,1635.46,700109300,,
13/11/2025,1631.44,670948400,,
12/11/2025,1631.86,720795200,,
12/11/2025,1631.86,720795200,,
11/11/2025,1593.61,639095600,,
10/11/2025,1580.54,692129400,,
07/11/2025,1599.1,860731800,,
06/11/2025,1642.64,583491600,,
05/11/2025,1654.89,649384200,,
04/11/2025,1651.98,1180329200,,
03/11/2025,1617,1009678000,,
31/10/2025,1639.65,814596600,,
30/10/2025,1669.57,804089700,,
29/10/2025,1685.83,864490400,,
28/10/2025,1680.5,924013400,,
27/10/2025,1652.54,947925600,,
24/10/2025,1683.18,961211500,,
23/10/2025,1687.06,743429400,,
22/10/2025,1678.5,955184200,,
21/10/2025,1663.43,1621883900,,
20/10/2025,1636.43,1702945200,,
17/10/2025,1731.19,1280333000,,
16/10/2025,1766.85,1148794000,,
15/10/2025,1757.95,1157457100,,
14/10/2025,1761.06,1569005100,,
13/10/2025,1765.12,1295266300,,
10/10/2025,1747.55,1053875500,,
09/10/2025,1716.47,1100903600,,
08/10/2025,1697.83,1073470600,,
07/10/2025,1685.3,851125700,,
06/10/2025,1695.5,1060007800,,
03/10/2025,1645.82,871224900,,
02/10/2025,1652.71,785855000,,
01/10/2025,1665.05,719764000,,
30/09/2025,1661.7,1111712300,,
29/09/2025,1666.48,844672200,,
26/09/2025,1660.7,934559700,,
25/09/2025,1666.09,948519100,,
24/09/2025,1657.46,986625900,,
23/09/2025,1635.26,712274300,,
