trade_date,horizon,mature_trade_date,fc1_version,label_schema_version,xs_mean_return,xs_median_return,xs_positive_share,xs_gt_3pct_share,xs_gt_5pct_share,xs_lt_minus3pct_share,n_symbols,universe_mfe,universe_mae,vni_return,mfe_mae_source,favorable_median,broad_favorable
2026-07-23,3,2026-07-27,forecast_v2_fc1_v1,fc1_labels_v1,-2.565465678342947,-1.9371482176360257,0.13380281690140844,0.028169014084507043,0.007042253521126761,0.38028169014084506,142,,,,,0,0
2026-07-23,5,2026-07-29,forecast_v2_fc1_v1,fc1_labels_v1,0.4887065221336558,0.34686402466589383,0.5140845070422535,0.2535211267605634,0.11267605633802817,0.1619718309859155,142,,,,,1,0
2026-07-23,10,2026-08-03,forecast_v2_fc1_v1,fc1_labels_v1,3.0697050469797795,2.1847307430129526,0.7394366197183099,0.4084507042253521,0.2605633802816901,0.07042253521126761,142,,,,,1,1
2026-07-24,3,2026-07-28,forecast_v2_fc1_v1,fc1_labels_v1,-1.4829733185187233,-1.484357788059043,0.3028169014084507,0.04225352112676056,0.02112676056338028,0.29577464788732394,142,,,,,0,0
2026-07-24,5,2026-07-30,forecast_v2_fc1_v1,fc1_labels_v1,1.5268464535149906,0.9510328859303252,0.6408450704225352,0.2746478873239437,0.13380281690140844,0.056338028169014086,142,,,,,1,1
2026-07-24,10,2026-08-04,forecast_v2_fc1_v1,fc1_labels_v1,4.700574707214008,3.5857638456602725,0.8450704225352113,0.5774647887323944,0.36619718309859156,0.04929577464788732,142,,,,,1,1
2026-07-26,3,2026-07-29,forecast_v2_fc1_v1,fc1_labels_v1,1.032236009678953,0.10309278350515425,0.5,0.24647887323943662,0.1267605633802817,0.09154929577464789,142,,,,,1,0
2026-07-26,5,2026-07-31,forecast_v2_fc1_v1,fc1_labels_v1,1.2849424978153678,0.7971290650406471,0.5633802816901409,0.2676056338028169,0.14788732394366197,0.09154929577464789,142,,,,,1,1
2026-07-26,10,2026-08-05,forecast_v2_fc1_v1,fc1_labels_v1,3.2347698784853884,2.200193423597674,0.704225352112676,0.43661971830985913,0.30985915492957744,0.07042253521126761,142,,,,,1,1
2026-07-27,3,2026-07-30,forecast_v2_fc1_v1,fc1_labels_v1,3.6778499481872804,3.385855324723941,0.8873239436619719,0.5422535211267606,0.2746478873239437,0.007042253521126761,142,,,,,1,1
2026-07-27,5,2026-08-01,forecast_v2_fc1_v1,fc1_labels_v1,3.4255526630486193,3.2002048131080425,0.8591549295774648,0.5140845070422535,0.2676056338028169,0.014084507042253521,142,,,,,1,1
2026-07-27,10,2026-08-06,forecast_v2_fc1_v1,fc1_labels_v1,5.648467123157591,5.538684225464041,0.8661971830985915,0.6971830985915493,0.528169014084507,0.035211267605633804,142,,,,,1,1
2026-07-28,3,2026-07-31,forecast_v2_fc1_v1,fc1_labels_v1,2.8219428306611047,2.1615217754046396,0.8802816901408451,0.3732394366197183,0.18309859154929578,0.007042253521126761,142,,,,,1,1
2026-07-28,5,2026-08-02,forecast_v2_fc1_v1,fc1_labels_v1,2.8219428306611047,2.1615217754046396,0.8802816901408451,0.3732394366197183,0.18309859154929578,0.007042253521126761,142,,,,,1,1
2026-07-28,10,2026-08-07,forecast_v2_fc1_v1,fc1_labels_v1,6.601322012612645,5.791617340323574,0.9014084507042254,0.7887323943661971,0.5845070422535211,0.02112676056338028,142,,,,,1,1
2026-07-29,3,2026-08-01,forecast_v2_fc1_v1,fc1_labels_v1,0.25136975188571153,0.2347430775588965,0.5070422535211268,0.09859154929577464,0.02112676056338028,0.04225352112676056,142,,,,,1,0
2026-07-29,5,2026-08-03,forecast_v2_fc1_v1,fc1_labels_v1,2.5669184253522705,2.1839542122703115,0.7887323943661971,0.4014084507042254,0.176056338028169,0.028169014084507043,142,,,,,1,1
2026-07-29,10,2026-08-08,forecast_v2_fc1_v1,fc1_labels_v1,2.4982992682029934,1.7992986242244324,0.7535211267605634,0.3873239436619718,0.2676056338028169,0.04929577464788732,142,,,,,1,1
2026-07-30,3,2026-08-02,forecast_v2_fc1_v1,fc1_labels_v1,-0.23958597843987692,-0.353166340411204,0.34507042253521125,0.0,0.0,0.014084507042253521,142,,,,,0,0
2026-07-30,5,2026-08-04,forecast_v2_fc1_v1,fc1_labels_v1,3.126987741089167,2.5807525807525766,0.8591549295774648,0.43661971830985913,0.2112676056338028,0.028169014084507043,142,,,,,1,1
2026-07-30,10,2026-08-10,forecast_v2_fc1_v1,fc1_labels_v1,4.003155017997556,3.709340069520173,0.852112676056338,0.5915492957746479,0.38028169014084506,0.056338028169014086,142,,,,,1,1
2026-07-31,3,2026-08-05,forecast_v2_fc1_v1,fc1_labels_v1,2.3176441546702025,2.0572745227123157,0.8591549295774648,0.29577464788732394,0.1267605633802817,0.02112676056338028,142,3.361358864224912,1.9786256446164567,,forecast_outcomes,1,1
2026-07-31,5,2026-08-07,forecast_v2_fc1_v1,fc1_labels_v1,1.9637962973240455,1.6730618957091714,0.7746478873239436,0.29577464788732394,0.19718309859154928,0.04929577464788732,142,3.6649770310623495,1.9786256446164567,,forecast_outcomes,1,1
2026-07-31,10,2026-08-14,forecast_v2_fc1_v1,fc1_labels_v1,4.059566522966929,3.8909938793354693,0.8661971830985915,0.6267605633802817,0.3732394366197183,0.056338028169014086,142,4.4502178794294025,1.717185836159402,,forecast_outcomes,1,1
2026-08-01,3,2026-08-04,forecast_v2_fc1_v1,fc1_labels_v1,3.375936243208582,2.9174770769658243,0.8661971830985915,0.4859154929577465,0.22535211267605634,0.028169014084507043,142,,,,,1,1
2026-08-01,5,2026-08-06,forecast_v2_fc1_v1,fc1_labels_v1,2.187307811667085,1.9963768115942027,0.8098591549295775,0.3591549295774648,0.18309859154929578,0.04929577464788732,142,,,,,1,1
2026-08-01,10,2026-08-12,forecast_v2_fc1_v1,fc1_labels_v1,4.171926713086537,3.9912902258127825,0.8873239436619719,0.6126760563380281,0.36619718309859156,0.06338028169014084,142,,,,,1,1
2026-08-02,3,2026-08-05,forecast_v2_fc1_v1,fc1_labels_v1,1.9637962973240455,1.6730618957091714,0.7746478873239436,0.29577464788732394,0.19718309859154928,0.04929577464788732,142,,,,,1,1
2026-08-02,5,2026-08-07,forecast_v2_fc1_v1,fc1_labels_v1,3.678322862577894,3.3835016835016885,0.8661971830985915,0.528169014084507,0.33098591549295775,0.035211267605633804,142,,,,,1,1
2026-08-02,10,2026-08-13,forecast_v2_fc1_v1,fc1_labels_v1,3.176818882715399,2.6354375675258552,0.8028169014084507,0.4647887323943662,0.2887323943661972,0.07042253521126761,142,,,,,1,1
2026-08-03,3,2026-08-06,forecast_v2_fc1_v1,fc1_labels_v1,-0.12530428651999503,-0.19985414983147987,0.4225352112676056,0.1267605633802817,0.07746478873239436,0.06338028169014084,142,1.020073046225491,-0.3313392454005708,,forecast_outcomes,0,0
2026-08-03,5,2026-08-10,forecast_v2_fc1_v1,fc1_labels_v1,-0.0639442545338372,-0.09803921568627415,0.43661971830985913,0.14788732394366197,0.06338028169014084,0.06338028169014084,142,1.89851142669086,-0.3313392454005708,,forecast_outcomes,0,0
2026-08-03,10,2026-08-17,forecast_v2_fc1_v1,fc1_labels_v1,-0.17042715247773338,0.0,0.4507042253521127,0.19718309859154928,0.1267605633802817,0.16901408450704225,142,2.0842678136094435,-0.5868570601597014,,forecast_outcomes,0,0
2026-08-04,3,2026-08-07,forecast_v2_fc1_v1,fc1_labels_v1,0.333631905243334,-0.06993006993006864,0.4507042253521127,0.16901408450704225,0.09154929577464789,0.06338028169014084,142,0.2937443645998172,-1.3377661002162142,,forecast_outcomes,0,0
2026-08-04,5,2026-08-11,forecast_v2_fc1_v1,fc1_labels_v1,0.9016086788694426,0.8179867940824148,0.6408450704225352,0.23943661971830985,0.11971830985915492,0.08450704225352113,142,0.8695681501471313,-1.3377661002162142,,forecast_outcomes,1,1
2026-08-04,10,2026-08-18,forecast_v2_fc1_v1,fc1_labels_v1,-1.1725857330864589,-1.4461945915807073,0.34507042253521125,0.20422535211267606,0.1267605633802817,0.34507042253521125,142,1.0534488199161842,-1.915331275919982,,forecast_outcomes,0,0
2026-08-05,3,2026-08-10,forecast_v2_fc1_v1,fc1_labels_v1,0.2746135111630114,0.0,0.45774647887323944,0.07746478873239436,0.04225352112676056,0.028169014084507043,142,2.237263604435995,0.2167947627685862,,forecast_outcomes,0,0
2026-08-05,5,2026-08-12,forecast_v2_fc1_v1,fc1_labels_v1,2.04177343529233,1.6632088520055266,0.8028169014084507,0.31690140845070425,0.13380281690140844,0.04225352112676056,142,2.4236375212842773,0.2167947627685862,,forecast_outcomes,1,1
2026-08-05,10,2026-08-19,forecast_v2_fc1_v1,fc1_labels_v1,-0.059246487779555775,-0.844017094017091,0.4014084507042254,0.24647887323943662,0.1619718309859155,0.23943661971830985,142,2.4236375212842773,-0.7208038260147589,,forecast_outcomes,0,0
2026-08-06,3,2026-08-11,forecast_v2_fc1_v1,fc1_labels_v1,2.02034390077665,1.6730243499268882,0.8661971830985915,0.28169014084507044,0.14084507042253522,0.02112676056338028,142,2.0160980466898906,1.4337291832030132,,forecast_outcomes,1,1
2026-08-06,5,2026-08-13,forecast_v2_fc1_v1,fc1_labels_v1,1.936514889201061,1.4394907391419465,0.7746478873239436,0.2746478873239437,0.1267605633802817,0.02112676056338028,142,2.202068788709184,0.9628260663887148,,forecast_outcomes,1,1
2026-08-06,10,2026-08-20,forecast_v2_fc1_v1,fc1_labels_v1,-0.905995146746871,-1.407436181734456,0.33098591549295775,0.176056338028169,0.09859154929577464,0.30985915492957744,142,2.202068788709184,-0.9355703213247182,,forecast_outcomes,0,0
2026-08-07,3,2026-08-12,forecast_v2_fc1_v1,fc1_labels_v1,0.3871020702735036,0.41412305370738256,0.5633802816901409,0.06338028169014084,0.035211267605633804,0.014084507042253521,142,0.7574794022592357,0.3878067512824685,,forecast_outcomes,1,1
2026-08-07,5,2026-08-14,forecast_v2_fc1_v1,fc1_labels_v1,-0.46696045905925593,-0.861994282248979,0.323943661971831,0.08450704225352113,0.04225352112676056,0.09154929577464789,142,0.7574794022592357,-1.878928882914124,,forecast_outcomes,0,0
2026-08-07,10,2026-08-21,forecast_v2_fc1_v1,fc1_labels_v1,-2.2574428370449353,-2.563198833252311,0.21830985915492956,0.1056338028169014,0.04225352112676056,0.44366197183098594,142,0.7574794022592357,-2.3358103104426533,,forecast_outcomes,0,0
2026-08-08,3,2026-08-12,forecast_v2_fc1_v1,fc1_labels_v1,1.876600927787684,1.54753352490421,0.7676056338028169,0.2676056338028169,0.1056338028169014,0.014084507042253521,142,,,,,1,1
2026-08-08,5,2026-08-14,forecast_v2_fc1_v1,fc1_labels_v1,-0.1316512468221427,-0.5329810064950369,0.4084507042253521,0.11971830985915492,0.09154929577464789,0.14788732394366197,142,,,,,0,0
2026-08-08,10,2026-08-21,forecast_v2_fc1_v1,fc1_labels_v1,1.5285113206277687,1.5239466270394075,0.6338028169014085,0.323943661971831,0.176056338028169,0.09859154929577464,142,,,,,1,1
2026-08-10,3,2026-08-13,forecast_v2_fc1_v1,fc1_labels_v1,-1.034422456528459,-1.2715517241379315,0.2323943661971831,0.07042253521126761,0.028169014084507043,0.19014084507042253,142,0.1822954862811627,-1.0324566421067516,,forecast_outcomes,0,0
2026-08-10,5,2026-08-17,forecast_v2_fc1_v1,fc1_labels_v1,-2.0620445890356573,-2.1486591277219413,0.21830985915492956,0.09154929577464789,0.014084507042253521,0.4154929577464789,142,0.1822954862811627,-2.439062604598135,,forecast_outcomes,0,0
2026-08-10,10,2026-08-24,forecast_v2_fc1_v1,fc1_labels_v1,0.43419525554979416,0.0,0.4647887323943662,0.2112676056338028,0.11267605633802817,0.11267605633802817,142,0.4967309255424794,-2.89333587985665,,forecast_outcomes,0,0
2026-08-11,3,2026-08-14,forecast_v2_fc1_v1,fc1_labels_v1,-1.849844517710101,-2.1986735870818954,0.14788732394366197,0.04225352112676056,0.028169014084507043,0.31690140845070425,142,0.3682445736588988,-2.2579790390406345,,forecast_outcomes,0,0
2026-08-11,5,2026-08-18,forecast_v2_fc1_v1,fc1_labels_v1,-2.0664775674741946,-2.4549983927997454,0.21830985915492956,0.07746478873239436,0.035211267605633804,0.4084507042253521,142,0.3682445736588988,-2.580405375689196,,forecast_outcomes,0,0
2026-08-12,3,2026-08-17,forecast_v2_fc1_v1,fc1_labels_v1,-1.9741530634792883,-2.257900101936799,0.19718309859154928,0.07746478873239436,0.028169014084507043,0.3591549295774648,142,-1.2125417195638877,-2.616588168753111,,forecast_outcomes,0,0
2026-08-12,5,2026-08-19,forecast_v2_fc1_v1,fc1_labels_v1,-2.77563223044622,-2.9614167908327382,0.1619718309859155,0.056338028169014086,0.02112676056338028,0.4859154929577465,142,-1.2125417195638877,-3.070034831213249,,forecast_outcomes,0,0
2026-08-13,3,2026-08-18,forecast_v2_fc1_v1,fc1_labels_v1,-1.2328706044455373,-1.2043776509399362,0.28169014084507044,0.07042253521126761,0.02112676056338028,0.20422535211267606,142,-1.0298352038497,-1.746466458973046,-1.903569830598717,forecast_outcomes,0,0
2026-08-13,5,2026-08-20,forecast_v2_fc1_v1,fc1_labels_v1,-1.7864943847670631,-1.852010631912887,0.23943661971830985,0.07042253521126761,0.035211267605633804,0.3028169014084507,142,-1.0298352038497,-1.88029244195792,-1.777835673385708,forecast_outcomes,0,0
2026-08-14,3,2026-08-19,forecast_v2_fc1_v1,fc1_labels_v1,-0.8281316983257899,-0.7678637087878415,0.3028169014084507,0.07042253521126761,0.035211267605633804,0.16901408450704225,142,0.3970886001602167,-0.4656302895260182,-0.1382237953131082,forecast_outcomes,0,0
2026-08-14,5,2026-08-21,forecast_v2_fc1_v1,fc1_labels_v1,1.69216266115201,1.85185185185186,0.7464788732394366,0.33098591549295775,0.14084507042253522,0.06338028169014084,142,2.143317860938865,-0.4656302895260182,2.257848104194138,forecast_outcomes,1,1
2026-08-17,3,2026-08-20,forecast_v2_fc1_v1,fc1_labels_v1,-0.7537757263683402,-0.7984827234476577,0.30985915492957744,0.06338028169014084,0.028169014084507043,0.14084507042253522,142,-0.2856881257127099,-0.8593066808162888,0.3924837622868216,forecast_outcomes,0,0
2026-08-17,5,2026-08-24,forecast_v2_fc1_v1,fc1_labels_v1,2.5757142074021577,2.433333333333343,0.8169014084507042,0.3873239436619718,0.16901408450704225,0.028169014084507043,142,2.6017696163757904,-0.8593066808162888,3.549720398735712,forecast_outcomes,1,1
2026-08-18,3,2026-08-21,forecast_v2_fc1_v1,fc1_labels_v1,1.9271475834691216,1.8605053651782666,0.795774647887324,0.2676056338028169,0.11267605633802817,0.007042253521126761,142,2.481378144581342,-0.136204753317088,2.0842715442084936,forecast_outcomes,1,1
2026-08-19,3,2026-08-24,forecast_v2_fc1_v1,fc1_labels_v1,3.4428857242812487,2.924828980099503,0.9507042253521126,0.4859154929577465,0.2676056338028169,0.02112676056338028,142,3.4910753408281323,0.5785904212479238,3.595897352738464,forecast_outcomes,1,1
