market_context_key,stock_pattern_key,pattern_key,horizon,samples,wins,leaders,avg_return_pct,median_return_pct,avg_max_gain_pct,avg_max_drawdown_pct,best_return_pct,worst_return_pct,first_seen,last_seen,win_rate_pct,leader_rate_pct,win_rate_lower_bound_pct,knowledge_score,updated_at,module_version,brain_generation,feature_version
NA|NA|<4,WEAKENING|<45|<-2|>=5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|>=5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,7,5,0,3.0152940328835705,4.387291981845687,3.612096372500484,0.8496529115635999,5.44554455445545,-0.3745318352059934,2026-07-23,2026-07-30,71.42857142857143,0.0,47.24628165565969,22.225095188873627,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,VERY_WEAK|<45|<-2|-2-0|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[VERY_WEAK|<45|<-2|-2-0|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,4,3,0,0.020695140104728837,1.6168127900979878,0.37915432744741184,-2.6733817935712336,1.9417475728155331,-5.0925925925925934,2026-07-23,2026-07-28,75.0,0.0,43.25414503690775,19.506419727374173,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,RECOVERING|45-50|2-5|>=5|STRONG_NEG|POSITIVE|1.2-1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[RECOVERING|45-50|2-5|>=5|STRONG_NEG|POSITIVE|1.2-1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,7.9889807162534465,7.9889807162534465,7.9889807162534465,1.377410468319562,7.9889807162534465,7.9889807162534465,2026-07-30,2026-07-30,100.0,0.0,37.84475032253529,19.426831860016918,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,NEUTRAL|45-50|0-2|2-5|STRONG_NEG|POSITIVE|0.7-1.0|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[NEUTRAL|45-50|0-2|2-5|STRONG_NEG|POSITIVE|0.7-1.0|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,7.473841554559035,7.473841554559035,7.473841554559035,-0.2989536621823663,7.473841554559035,7.473841554559035,2026-07-29,2026-07-29,100.0,0.0,37.84475032253529,19.272290111508596,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,NEUTRAL|45-50|-2-0|>=5|STRONG_NEG|POSITIVE|0.7-1.0|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[NEUTRAL|45-50|-2-0|>=5|STRONG_NEG|POSITIVE|0.7-1.0|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,7.19640179910046,7.19640179910046,7.796101949025491,0.599700149925031,7.19640179910046,7.19640179910046,2026-07-30,2026-07-30,100.0,0.0,37.84475032253529,19.249028199863524,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|45-50|<-2|2-5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|45-50|<-2|2-5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,7.344632768361592,7.344632768361592,7.344632768361592,-0.7062146892655385,7.344632768361592,7.344632768361592,2026-07-27,2026-07-27,100.0,0.0,37.84475032253529,19.23352747564936,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,NEUTRAL|50-55|-2-0|2-5|STRONG_NEG|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[NEUTRAL|50-55|-2-0|2-5|STRONG_NEG|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,6.768189509306266,6.768189509306266,6.768189509306266,0.50761421319796,6.768189509306266,6.768189509306266,2026-07-30,2026-07-30,100.0,0.0,37.84475032253529,19.060594497932765,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,RECOVERING|55-60|0-2|2-5|STRONG_NEG|POSITIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[RECOVERING|55-60|0-2|2-5|STRONG_NEG|POSITIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,6.666666666666665,6.666666666666665,6.666666666666665,1.333333333333342,6.666666666666665,6.666666666666665,2026-07-30,2026-07-30,100.0,0.0,37.84475032253529,19.030137645140883,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAK|45-50|<-2|>=5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAK|45-50|<-2|>=5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,6.584362139917688,6.584362139917688,6.584362139917688,1.85185185185186,6.584362139917688,6.584362139917688,2026-07-29,2026-07-29,100.0,0.0,37.84475032253529,19.00544628711619,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,NEUTRAL|45-50|-2-0|2-5|STRONG_NEG|POSITIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[NEUTRAL|45-50|-2-0|2-5|STRONG_NEG|POSITIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,1,1,0,6.546762589928057,6.546762589928057,6.546762589928057,4.604316546762588,6.546762589928057,6.546762589928057,2026-07-28,2026-07-28,100.0,0.0,37.84475032253529,18.9941664221193,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|NA,WEAKENING|<45|<-2|>=5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|NA]::DNA[WEAKENING|<45|<-2|>=5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],5,6,4,0,1.179808352890958,1.364734299516912,2.7416171721183935,-3.372930241295929,4.285714285714293,-3.2258064516129004,2026-07-26,2026-07-26,66.66666666666666,0.0,40.94013068272566,18.933182195016578,2026-08-04T09:10:22Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
